"IN";"Antiphona ad Introïtum";"Antienne d'Introït";"Entrance antiphon"
"SANCTISSIMAE_TRINITATIS";"SANCTISSIMAE TRINITATIS";"TRES SAINTE TRINITE";
"SS_MI_CORPORIS_ET_SANGUINIS_CHRISTI";"SS.MI CORPORIS ET SANGUINIS CHRISTI";"TRES SAINT CORPS ET SANG DU CHRIST";
;"Tempus Nativitatis ";"Temps de la Nativité";
;"Tempus per annum ";"Temps dans l'année";
;"Tempus Quadragesimae ";"Temps du Carême";
;"Tempus passionis ";"Temps de la Passion";
;"Tempus Paschale ";"Temps pascal";
;"Tempus Adventus ";"Temps de l'Avent";
;"Dominica II per annum";"II ème dimanche dans l'année";
;"Dominica III per annum";"III ème dimanche dans l'année";
;"Dominica IV per annum";"IV ème dimanche dans l'année";
;"Dominica V per annum";"V ème dimanche dans l'année";
;"Dominica VI per annum";"VI ème dimanche dans l'année";
;"Dominica VII per annum";"VII ème dimanche dans l'année";
;"Dominica VIII per annum";"VIII ème dimanche dans l'année";
;"Dominica IX per annum";"IX ème dimanche dans l'année";
;"Dominica X per annum";"X ème dimanche dans l'année";
;"Dominica XI per annum";"XI ème dimanche dans l'année";
;"Dominica XII per annum";"XII ème dimanche dans l'année";
;"Dominica XIII per annum";"XIII ème dimanche dans l'année";
;"Dominica XIV per annum";"XIV ème dimanche dans l'année";
;"Dominica XV per annum";"XV ème dimanche dans l'année";
;"Dominica XVI per annum";"XVI ème dimanche dans l'année";
;"Dominica XVII per annum";"XVII ème dimanche dans l'année";
;"Dominica XVIII per annum";"XVIII ème dimanche dans l'année";
;"Dominica XIX per annum";"XIX ème dimanche dans l'année";
;"Dominica XX per annum";"XX ème dimanche dans l'année";
;"Dominica XXI per annum";"XXI ème dimanche dans l'année";
;"Dominica XXII per annum";"XXII ème dimanche dans l'année";
;"Dominica XXIII per annum";"XXIII ème dimanche dans l'année";
;"Dominica XXIV per annum";"XXIV ème dimanche dans l'année";
;"Dominica XXV per annum";"XXV ème dimanche dans l'année";
;"Dominica XXVI per annum";"XXVI ème dimanche dans l'année";
;"Dominica XXVII per annum";"XXVII ème dimanche dans l'année";
;"Dominica XXVIII per annum";"XXVIII ème dimanche dans l'année";
;"Dominica XXIX per annum";"XXIX ème dimanche dans l'année";
;"Dominica XXX per annum";"XXX ème dimanche dans l'année";
;"Dominica XXXI per annum";"XXXI ème dimanche dans l'année";
;"Dominica XXXII per annum";"XXXII ème dimanche dans l'année";
;"Dominica XXXIII per annum";"XXXIII ème dimanche dans l'année";
;"Hebdomada I per annum";"Ière semaine dans l'année";
;"Hebdomada II per annum";"II ème semaine dans l'année";
;"Hebdomada III per annum";"III ème semaine dans l'année";
;"Hebdomada IV per annum";"IV ème semaine dans l'année";
;"Hebdomada V per annum";"V ème semaine dans l'année";
;"Hebdomada VI per annum";"VI ème semaine dans l'année";
;"Hebdomada VII per annum";"VII ème semaine dans l'année";
;"Hebdomada VIII per annum";"VIII ème semaine dans l'année";
;"Hebdomada IX per annum";"IX ème semaine dans l'année";
;"Hebdomada X per annum";"X ème semaine dans l'année";
;"Hebdomada XI per annum";"XI ème semaine dans l'année";
;"Hebdomada XII per annum";"XII ème semaine dans l'année";
;"Hebdomada XIII per annum";"XIII ème semaine dans l'année";
;"Hebdomada XIV per annum";"XIV ème semaine dans l'année";
;"Hebdomada XV per annum";"XV ème semaine dans l'année";
;"Hebdomada XVI per annum";"XVI ème semaine dans l'année";
;"Hebdomada XVII per annum";"XVII ème semaine dans l'année";
;"Hebdomada XVIII per annum";"XVIII ème semaine dans l'année";
;"Hebdomada XIX per annum";"XIX ème semaine dans l'année";
;"Hebdomada XX per annum";"XX ème semaine dans l'année";
;"Hebdomada XXI per annum";"XXI ème semaine dans l'année";
;"Hebdomada XXII per annum";"XXII ème semaine dans l'année";
;"Hebdomada XXIII per annum";"XXIII ème semaine dans l'année";
;"Hebdomada XXIV per annum";"XXIV ème semaine dans l'année";
;"Hebdomada XXV per annum";"XXV ème semaine dans l'année";
;"Hebdomada XXVI per annum";"XXVI ème semaine dans l'année";
;"Hebdomada XXVII per annum";"XXVII ème semaine dans l'année";
;"Hebdomada XXVIII per annum";"XXVIII ème semaine dans l'année";
;"Hebdomada XXIX per annum";"XXIX ème semaine dans l'année";
;"Hebdomada XXX per annum";"XXX ème semaine dans l'année";
;"Hebdomada XXXI per annum";"XXXI ème semaine dans l'année";
;"Hebdomada XXXII per annum";"XXXII ème semaine dans l'année";
;"Hebdomada XXXIII per annum";"XXXIII ème semaine dans l'année";
;"Hebdomada XXXIV per annum";"XXXIV ème semaine dans l'année";
;"Immaculati Cordis B. Mariae Virginis ";"Coeur immaculé de la B. Vierge Marie";
;"In octava Nativitatis SOLLEMNITAS SANCTAE DEI GENITRICIS MARIAE";"Octave de la Nativité SOLENNITE DE LA SAINTE MERE DE DIEU, MARIE";
;"Ss. Basilii et Gregorii Nazianzeni, episcoporum et Ecclesiae doctorum";"Sts. Basile et Grégoire de Nazianze, évêques et docteurs de l'Église";
;"Ss.mi Nominis Iesu";"Très Saint Nom de Jésus";
;"IN EPIPHANIA DOMINI";"EPIPHANIE DU SEIGNEUR";
;"S. Raimundi de Penyafort, presbyteri";"St Raymond de Penyafort, prêtre.";
;"S. Hilarii, episcopi et Ecclesiae doctoris";"St Hilaire, évêque et docteur de l'Eglise";
;"S. Antonii, abbatis";"St Antoine, abbé.";
;"S. Fabiani, papae et martyris";"St Fabien, pape et martyr.";
;"S. Sebastiani, martyris";"St Sébastien, martyr.";
;"S. Agnetis, virginis et martyris";"St Agnès, vierge et martyre.";
;"S. Vincentii, diaconi et martyris";"St Vincent, diacre et martyr.";
;"S. Francisci de Sales, episcopi et Ecclesiae doctoris";"St François de Sales, évêque et docteur de l'Église.";
;"In conversione S. Pauli, apostoli";"Conversion de Saint Paul, apôtre.";
;"Ss. Timothei et Titi, episcoporum";"Sts Timothée et Tite, évêques.";
;"S. Angelae Merici, virginis";"Ste Angèle Merici, vierge.";
;"S. Thomae de Aquino, presbyteri et Ecclesiae doctoris";"St Thomas d'Aquin, prêtre et docteur de l'Église";
;"S. Ioannis Bosco, presbyteri";"St Jean Bosco, prêtre.";
;"IN PRAESENTATIONE DOMINI";"PRESENTATION DU SEIGNEUR";
;"S. Blasii, episcopi et martyris";"St Blaise, évêque et martyr";
;"S. Ansgarii, episcopi";"St Anschaire, évêque ";
;"S. Agathae, virginis et martyris";"Ste Agathe, vierge et martyre";
;"Ss. Pauli Miki et sociorum, martyrum";"St Paul Miki, prêtre, et ses compagnons, martyrs";
;"S. Hieronymi Emiliani";"St Jérôme Émilien";
;"S. Iosephinae Bakhita, virginis";"Ste Joséphine Bakhita, vierge";
;"S. Scholasticae, virginis";"Ste Scholastique, vierge";
;"B. Mariae Virginis de Lourdes";"Bienheureuse Marie, vierge de Lourdes ";
;"Ss. Cyrilli, monachi, et Methodii, episcopi";"Sts Cyrille, moine et Méthode, évêque";
;"Ss. septem Fundatorum Ordinis Servorum B. M. V.";"Les Sept Saints Fondateurs de l'ordre des Servites de la Bienheureuse Vierge Marie.";
;"S. Petri Damiani, episcopi et Ecclesiae doctoris";"St Pierre Damien, évêque et docteur de l'Église";
;"Cathedrae S. Petri, apostoli";"Chaire de St Pierre, apôtre";
;"S. Polycarpi, episcopi et martyris";"St Polycarpe, évêque et martyr";
;"S. Casimiri";"St Casimir";
;"Ss. Perpetuae et Felicitatis, martyrum";"Ste Perpétue et Ste Félicité, martyres";
;"S. Ioannis a Deo, religiosi";"St Jean de Dieu, religieux";
;"S. Franciscae Romanae, religiosae";"Ste Françoise Romaine, religieuse";
;"S. Patricii, episcopi";"St Patrice, évêque";
;"S. Cyrilli Hierosolymitani, episcopi et Ecclesiae doctoris";"St Cyrille de Jérusalem, évêque et docteur de l'Église";
;"S. IOSEPH, SPONSI B. M. V.";"ST JOSEPH, EPOUX DE LA BIENHEUREUSE VIERGE MARIE";
;"S. Turibii de Mongrovejo, episcopi";"St Turibio de Mongrovejo, évêque";
;"IN ANNUNTIATIONE DOMINI";"ANNONCIATION DU SEIGNEUR";
;"S. Francisci de Paola, eremitae";"St François de Paule, ermite";
;"S. Isidori, episcopi et Ecclesiae doctoris";"St Isidore, évêque et docteur de l'Église";
;"S. Vincentii Ferrer, presbyteri";"St Vincent Ferrier, prêtre";
;"S. Ioannis Baptistae de la Salle, presbyteri";"St Jean-Baptiste de la Salle, prêtre";
;"S. Stanislai, episcopi et martyris";"St Stanislas , évêque et martyr";
;"S. Martini I, papae et martyris";"St Martin 1er, pape et martyr";
;"S. Anselmi, episcopi et Ecclesiae doctoris";"St Anselme de Canterbury, évêque et docteur de l'Église";
;"S. Georgii, martyris";"St Georges, martyr";
;"S. Adalberti, episcopi et martyris";" St Adalbert, évêque et martyr";
;"S. Fidelis a Sigmaringen, presbyteri et martyris";"St Fidèle de Sigmaringen, prêtre et martyr";
;"S. Marci, evangelistae";"St Marc, évangéliste";
;"S. Petri Chanel, presbyteri et martyris";"St Pierre Chanel, prêtre et martyr";
;"S. Ludovici Mariae Grignion de Montfort, presbyteri";"St Louis Marie Grignon de Montfort, prêtre";
;"S. Catharinae Senensis, virginis et Ecclesiae doctoris";"Ste Catherine de Sienne, vierge et docteur de l’Église";
;"S. Pii V, papae";"St Pie V, pape";
;"S. Ioseph Opificis";"St Joseph ouvrier";
;"S. Athanasii, episcopi et Ecclesiae doctoris";"St Athanase, évêque et docteur de l'Église";
;"Ss. Philippi et Iacobi, apostolorum";"Sts Philippe et Jacques,  apôtres";
;"Ss. Nerei et Achillei, martyrum";"Sts Nérée et Achille, martyrs";
;"S. Pancratii, martyris";"St Pancrace, martyr";
;"B. Mariae Virginis de Fatima";"Bienheureuse Vierge Marie de Fatima";
;"S. Matthiae, apostoli";"St Matthias, apôtre";
;"S. Ioannis I, papae et martyris";"St Jean 1er, pape et martyr.";
;"S. Bernardini Senensis, presbyteri";"St Bernardin de Sienne, prêtre.";
;"S. Christophori Magallanes, presbyteri, et sociorum, martyrum";"St Christophe Magallanes, prêtre, et ses compagnons, martyrs";
;"S. Ritae de Cascia, religiosae";"Ste Rita de Cascia, religieuse";
;"S. Bedae Venerabilis, presbyteri et Ecclesiae doctoris";"St Bède le Vénérable, prêtre et docteur de l'Église";
;"S. Gregorii VII, papae";"St Grégoire VII, pape";
