"IN";"Antiphona ad Introïtum";"Antienne d'Introït";"Entrance antiphon"
;"S. Gertrudis, virginis";"Ste Marguerite d'Écosse";
;"S. Elisabeth Hungariae, religiosae";"Ste Élisabeth de Hongrie, religieuse";
;"In Dedicatione basilicarum Ss. Petri et Pauli, apostolorum";"Dédicace des basiliques de Sts Pierre et Paul, apôtres";
;"In Praesentatione B. Mariae Virginis";"Présentation de la Bienheureuse Vierge Marie";
;"S. Caeciliae, virginis et martyris";"Ste Cécile, vierge et martyre";
;"S. Clementis I, papae et martyris";"St Clément Ier, pape et martyr";
;"S. Columbani, abbatis";"St Colomban, abbé";
;"Ss. Andreae Dung Lac, presbyteri, et sociorum, martyrum";"St-André Dung-Lac, prêtre et ses compagnons martyrs";
;"S. Catharinae Alexandrinae, virginis et martyris";"Ste Catherine d'Alexandrie, vierge et martyr";
;"S. Andreae, apostoli";"St André, apôtre";
;"D.N. IESU CHRISTI UNIVERSORUM REGIS";"N. S. J. C. ROI DE L'UNIVERS";
;"S. Francisci Xavier, presbyteri";"St François-Xavier, prêtre";
;"S. Ioannis Damasceni, presbyteri et Ecclesiae doctoris";"St Jean Damascène, prêtre et docteur de l'Église";
;"S. Nicolai, episcopi";"St Nicolas, évêque";
;"S. Ambrosii, episcopi et Ecclesiae doctoris";"St Ambroise, évêque et docteur de l'Église";
;"IN CONCEPTIONE IMMACULATA BEATAE MARIAE VIRGINIS";"CONCEPTION IMMACULEE DE LA BIENHEUREUSE VIERGE MARIE";
;"S. Ioanne Diedo Cuahtlatoatzin";"St Jean Diego Cuahtlatoatzin";
;"S. Damasi I, papae";"St Damase 1er, pape";
;"B. Mariae Virginis de Guadalupe";"Bienheureuse Vierge Marie de Guadalupe.";
;"S. Luciae, virginis et martyris";"Ste Lucie, vierge et martyre";
;"S. Ioannis a Cruce, presbyteri et Ecclesiae doctoris";"St Jean de la Croix, prêtre et docteur de l'Église";
;"S. Petri Canisii, presbyteri et Ecclesiae doctoris";"St Pierre Canisius, prêtre et docteur de l'Église";
;"S. Ioannis de Kety, presbyteri";"St Jean de Kenty, prêtre";
;"IN NATIVITATE DOMINI";"NATIVITE DU SEIGNEUR";
;"S. Stephani, protomartyris";"St Étienne, protomartyr";
;"S. Ioannis, apostoli et evangelistae";"St Jean, apôtre et évangéliste";
;"Ss. Innocentium, martyrum";"Les Saints Innocents, martyrs";
;"S. Thomae Becket, episcopi et martyris";"St Thomas Becket, évêque et martyr";
;"S. Silvestri I, papae";"St Sylvestre 1er, pape  ";
;"SANCTAE FAMILIAE IESU, MARIAE ET IOSEPH";"SAINTE FAMILLE DE JESUS, MARIE ET JOSEPH";
