"Mois";"libre";"Spécifique";"Jour";"Intitulé";"Rang";"Couleur";"Rang"
4;"g";;29;"Ste Catherine de Sienne, vierge et docteur de l’Église";"Mémoire obligatoire";"Blanc";8
4;"A";;30;"St Pie V, pape";"Mémoire facultative";;12
5;"b";;1;"St Joseph ouvrier";"Mémoire facultative";;12
5;"c";;2;"St Athanase, évêque et docteur de l'Église";"Mémoire obligatoire";"Blanc";10
5;"d";;3;"St Philippe et St Jacques,  apôtres";"Fête";"Rouge  ";7
5;"e";;4;;;;
5;"f";;5;;;;
5;"g";;6;;;;
5;"A";;7;;;;
5;"b";;8;;;;
5;"c";;9;;;;
5;"d";;10;;;;
5;"e";;11;;;;
5;"f";;12;"Sts Nérée et Achille, martyrs";"Mémoire facultative";;12
5;"f";;12;"St Pancrace, martyr";"Mémoire facultative";;12
5;"g";;13;"Bienheureuse Vierge Marie de Fatima";"Mémoire facultative";;12
5;"A";;14;"St Matthias, apôtre";"Fête";"Rouge";7
5;"b";;15;;;;
5;"c";;16;;;;
5;"d";;17;;;;
5;"e";;18;"St Jean 1er, pape et martyr.";"Mémoire facultative";;12
5;"f";;19;;"Mémoire facultative";;12
5;"g";;20;"St Bernardin de Sienne, prêtre.";"Mémoire facultative";;12
5;"A";;21;"St Christophe Magallanes, prêtre, et ses compagnons, martyrs";"Mémoire facultative";;12
5;"b";;22;"Ste Rita de Cascia, religieuse";"Mémoire facultative";;12
5;"c";;23;;;;
5;"d";;24;;;;
5;"e";;25;"St Bède le Vénérable, prêtre et docteur de l'Église";"Mémoire facultative";;12
5;"e";;25;"St Grégoire VII, pape";"Mémoire facultative";;12
5;"e";;25;"Ste Marie-Madeleine de Pazzi, vierge";"Mémoire facultative";;12
5;"f";;26;"St Philippe Néri , prêtre";"Mémoire obligatoire";"Blanc";10
5;"g";;27;"St Augustin de Cantorbéry, évêque";"Mémoire facultative";;12
5;"A";;28;;;;
5;"b";;29;;;;
5;"c";;30;;;;11
5;"d";;31;"Visitation de la Bienheureuse Vierge Marie";"Fête";"Blanc";7
6;"e";;1;"St Justin, martyr";"Mémoire obligatoire";"Rouge";10
6;"f";;2;;;;12
6;"f";;2;"St Marcellin et St Pierre, martyrs.";"Mémoire facultative";;12
6;"g";;3;"St Charles Lwanga et ses compagnons, martyrs.";"Mémoire obligatoire";"Rouge";10
6;"A";;4;;;;12
6;"b";;5;"St Boniface, évêque et martyr.";"Mémoire obligatoire";"Rouge";10
6;"c";;6;"St Norbert, évêque.";"Mémoire facultative";;12
6;"d";;7;;;;
6;"e";;8;;;;
6;"f";;9;"St Ephrem, diacre et docteur de l'Église.";"Mémoire facultative";;12
6;"g";;10;;;;
6;"A";;11;"St Barnabé, apôtre.";"Mémoire obligatoire";"Rouge";10
6;"b";;12;;;;
6;"c";;13;"St Antoine de Padoue, prêtre et docteur de l'Église.";"Mémoire obligatoire";"Blanc";10
6;"d";;14;;;;
6;"e";;15;;;;
6;"f";;16;;;;
6;"g";;17;;;;
6;"A";;18;;;;
6;"b";;19;"St Romuald, abbé.";"Mémoire facultative";;12
6;"c";;20;;;;
6;"d";;21;"St Louis de Gonzague, religieux";"Mémoire obligatoire";"Blanc";10
6;"e";;22;"St Paulin de Nole, évêque.";"Mémoire facultative";;12
6;"e";;22;"Sts Jean Fisher, évêque et Thomas More, martyrs.";"Mémoire facultative";;12
6;"f";;23;;;;
6;"g";;24;"NATIVITE DE SAINT JEAN BAPTISTE";"Solennité";"Blanc";3
6;"A";;25;;;;
6;"b";;26;"St Josemaria Escriva de Balaguer, prêtre.";"Mémoire facultative";;12
6;"c";;27;"St Cyrille d’Alexandrie, évêque et docteur de l'Église";"Mémoire facultative";;12
6;"d";;28;"St Irénée, évêque et martyr";"Mémoire obligatoire";"Rouge";10
6;"e";;29;"ST PIERRE ET SAINT PAUL, APOTRES";"Solennité";"Rouge";3
