9;;;25;"St Serge de Radonèje"
10;;;2;"Bx Antoine Chevier, prêtre"
10;;;3;"Bx Ambrosio Francisco Ferro"
10;;;5;"Ste Faustine Kowalska, religieuse"
10;;;8;"Ste Pélagie, martyre"
10;;;10;"Bx Daniel Comboni"
10;;;11;"Bx Jean XXIII, pape"
10;;;12;"St Séraphin d'Ascoli, frère"
10;;;13;"St Théophile d'Antioche, évêque"
10;;;20;"St Corneille"
10;;;21;"Ste Marguerite Clitherow "
10;;;22;"Bx Jean-Paul II, pape"
10;;;25;"Dédicace des églises consacrées "
10;;;26;"Bx Bonaventure de Potenza"
10;;;27;"St Évariste, pape"
10;;;29;"Bx Gaétan Errico, prêtre"
10;;;30;"Bse Bienvenue Bojani"
10;;;31;"St Quentin, martyr"
11;;;5;"Bx Gomidas Keumurdjan, prêtre, Bx Guido Conforti"
11;;;6;"St léonard de Limoges, ermite"
11;;;7;"St Willibrord, évêque"
11;;;8;"Élisabeth Catez"
11;;;9;"Bse Élisabeth de la Trinité, religieuse"
11;;;13;"Ste Augustine Pietrantoni"
11;;;14;"St Nicolas Tavelic, religieux"
11;;;19;"Ste Mechtilde d'Hackeborn"
11;;;20;"Bse Angèle de Saint-Joseph "
11;;;26;"Bse Gaétane Sterni"
11;;;27;"St Maxime"
11;;;28;"Ste Catherine Labouré"
11;;;29;"Bx Vincenzo Romano"
12;;;1;"Bx Charles de Foucauld"
12;;;2;"Bse Marie-Angèle Astorch"
12;;;5;"Bx Nicolas Stensen,"
12;;;10;"St Jean Roberts "
12;;;15;"Ste Marie Crucifiée de Rose"
12;;;16;"St Joseph Manyamet y Vivès"
12;;;17;"St Gatien, évêque"
12;;;18;"Bx  Urbain V, pape"
12;;;19;"Bx Vincent Romano"
