"Mois";;;"Jour";"Intitulé";"Rang";"Couleur";"Rang"
2;;;6;"St Amand, évêque";"Mémoire obligatoire";;11
2;;;7;"St Paul Miki et ses compagnons, martyrs";"Mémoire obligatoire";;10
8;;;7;"Ste Julienne du Mont-Cornillon, vierge";"Mémoire facultative";;12
8;;;31;"Bienheureuse Vierge Marie Médiatrice";"Mémoire facultative";;12
9;;;17;"St Lambert, évêque et martyr";"Mémoire facultative";;12
10;;;25;"Dédicace des églises consacrées, dont la date n'est pas connue";"Solennité";;4
11;;;3;"St Hubert, évêque";"Mémoire obligatoire";;11
11;;;26;"St Jean Berchmans, religieux";"Mémoire facultative";;12
