"Mois";"libre";"Spécifique";"Jour";"Intitulé";"Rang";"Couleur";"Rang";
2;;"Eur";14;"Sts Cyrille, moine et Méthode, évêque";"Fête";"Blanc";8;
4;;"Eur";29;"Ste Catherine de Sienne, vierge et docteur de l’Église";"Fête";"Blanc";8;
7;;"Eur";11;"St Benoît, abbé";"Fête";"Blanc";8;"Patron de l'Europe"
7;;"Eur";23;"Ste Brigitte, religieuse";"Fête";"Blanc";8;"Patronne de l'Europe"
8;;"Eur";9;"SteThérèse-Benedicte de la Croix, vierge et martyre.";"Fête ";"Rouge";8;"Patronne de l'Europe"
